PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=118 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=118 time=18.8 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=118 time=18.3 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=118 time=16.4 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=118 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=118 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=118 time=20.3 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=118 time=18.4 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=118 time=16.3 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=118 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=118 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=118 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=118 time=18.5 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=118 time=16.3 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=118 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=118 time=52.3 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=118 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=118 time=104 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=118 time=16.9 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=118 time=15.4 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=118 time=162 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=118 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=118 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=118 time=18.5 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=118 time=16.3 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=118 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=118 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=118 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=118 time=48.2 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=118 time=16.4 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=118 time=102 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=118 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=118 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=118 time=19.5 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=118 time=57.3 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=118 time=87.2 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=118 time=104 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=118 time=91.5 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=118 time=19.5 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=118 time=17.4 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=118 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=118 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=118 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=118 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=118 time=17.3 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=118 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=118 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=118 time=21.0 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=118 time=19.5 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=118 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=118 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=118 time=17.3 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=118 time=18.8 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=118 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=118 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=118 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=118 time=98.3 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=118 time=16.5 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=118 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=118 time=63.5 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=118 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=118 time=110 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=118 time=18.0 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=118 time=77.5 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=118 time=46.2 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=118 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=118 time=32.5 ms
64 bytes from 8.8.8.8: icmp_seq=71 ttl=118 time=19.2 ms
64 bytes from 8.8.8.8: icmp_seq=72 ttl=118 time=17.4 ms
64 bytes from 8.8.8.8: icmp_seq=73 ttl=118 time=15.3 ms
64 bytes from 8.8.8.8: icmp_seq=74 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=118 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=118 time=17.3 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=118 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=118 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=118 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=118 time=17.4 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=118 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=118 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=118 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=118 time=19.2 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=118 time=118 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=118 time=19.2 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=118 time=17.5 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=118 time=15.3 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=118 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=118 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=118 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=118 time=45.6 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=118 time=112 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=118 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=118 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=118 time=66.2 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=118 time=84.2 ms
